reframed_text	strategy
I hope I do well in my exams that are scheduled for the next few weeks.	impermanence
But when I get dressed, I am always satisfied.	self_affirmation
The roads in the country are much safer than the ones in the city.	neutralizing
Going to the doctor tomorrow, thanks for everyone that has been wishing me well, I am sure it's nothing bad	optimism
Going to the doctor tomorrow, thanks for everyone that has been wishing me well, I am sure it's nothing bad	thankfulness
I made it to the end of the most challenging week ever!	optimism
Babies can be really difficult sometimes, shout out to all the moms and dads that deal with them with grace!	neutralizing
Babies can be really difficult sometimes, shout out to all the moms and dads that deal with them with grace!	optimism
Even though my grades are not good, I am committed to improving these grades.	optimism
So much work and few hours of sleep, make me miss and want to go back in time to better enjoy the life of a child. Never come back.	neutralizing
So much work and few hours of sleep, make me miss and want to go back in time to better enjoy the life of a child. Never come back.	optimism
An ice-cold Rekorderlig after a long day at work	optimism
Dance dreams are the worst haha, because I want to dance, and I can handle breaking my neck or back	neutralizing
The semester is very stressful, but I need to remain calm because it is coming to an end.	neutralizing
The semester is very stressful, but I need to remain calm because it is coming to an end.	optimism
I need a hot bubble bath and a cold drink. To relieve the stress.	impermanence
I hope people deliver the ordered stuff correctly on time.	neutralizing
I hate everything that is happening, but it won't last forever.	impermanence
I am ready to start doing something new, I feel like a puppy would be great.	neutralizing
I am ready to start doing something new, I feel like a puppy would be great.	optimism
Not trusting people is a right that everyone has and after all we are not obliged to trust everyone.	impermanence
Lots of things haven’t gone my way at the moment but I know this is just a stage in life and things will start to get better.	growth
Lots of things haven’t gone my way at the moment but I know this is just a stage in life and things will start to get better.	neutralizing
Lots of things haven’t gone my way at the moment but I know this is just a stage in life and things will start to get better.	optimism
I hope I can take some time out so that I can channel my anger in the right direction and get some peace of mind.	optimism
I'm hungry, but when I try to eat I feel sick and can't eat. Fortunately, I took a medicine and soon I'll be better.	optimism
The good thing about being alone all the time is that I can focus on my personal projects and myself!	neutralizing
The good thing about being alone all the time is that I can focus on my personal projects and myself!	optimism
I'm glad I could stay home today and focus on getting healthy. I'll worry about classes once I'm feeling better.	thankfulness
If someone wants to leave me, and I am going to move on with my life because I have better things in my future.	optimism
If someone wants to leave me, and I am going to move on with my life because I have better things in my future.	self_affirmation
If I make an effort to work on my interpersonal skills, I'll be able to communicate better and more clearly with a variety of people, which will help me connect with others.	growth
College is a lot of work, but I am thankful that I have the opportunity to go.	thankfulness
I would love to go to sleep and wake up in a better frame of mind tomorrow.	impermanence
I would love to go to sleep and wake up in a better frame of mind tomorrow.	optimism
I am loyal to my friends and do not usually tell on them.	growth
I am loyal to my friends and do not usually tell on them.	optimism
I am tired and have too much homework. I hope to finish it soon and relax in my bed.	neutralizing
I am tired and have too much homework. I hope to finish it soon and relax in my bed.	optimism
It's been a long day have to take rest.	self_affirmation
It's been a long day have to take rest.	thankfulness
I know it would be like not worrying about work or money. But looking on the bright side, these are things that made many other things possible for me, so I'm happy with that.	growth
I know it would be like not worrying about work or money. But looking on the bright side, these are things that made many other things possible for me, so I'm happy with that.	optimism
Life is tough now but soon it will all be worth it when we can move in to our new home.	optimism
I've done 4 hours of math, I'm ready to pass the test!	neutralizing
I've done 4 hours of math, I'm ready to pass the test!	optimism
6 hours of research and hard work I am half way through my psychology essay! Motivated to finish this and the English essay	neutralizing
If I was me I will hide my money in a secert place for Vegas this will help to take in future.	growth
I am not sure how the rest of you getting in all your meals with all the work, and I have a similar problem, but at least I can say I have been productive at the end of the day	thankfulness
I will let everything bad pass... Good things will come. I just need to allow myself to feel every emotion I can!	growth
I will let everything bad pass... Good things will come. I just need to allow myself to feel every emotion I can!	optimism
I will let everything bad pass... Good things will come. I just need to allow myself to feel every emotion I can!	self_affirmation
I'm glad you're in a good mood, but this is the 3rd floor.  You don't giggle here because we try to be quiet on this floor.  You're most welcome to go flirt and laugh downstairs though.	neutralizing
I'm glad you're in a good mood, but this is the 3rd floor.  You don't giggle here because we try to be quiet on this floor.  You're most welcome to go flirt and laugh downstairs though.	thankfulness
Thinking about many things can be good since it means I have things to think about.	optimism
So glad these finals are almost over	impermanence
I need to stay calm now so I don't get even more stressed. Sleeping little is bad for me.	optimism
I need to stay calm now so I don't get even more stressed. Sleeping little is bad for me.	self_affirmation
I keep my time busy so I can be productive!	growth
I'm so thankful that I am still able to eat healthy even when I'm stressed.	thankfulness
Having panic attacks is hard, I just need to remember to slow my breathing, and it will pass.	impermanence
It entertains me to think about the different ways that exist to send electronic emails!!	optimism
Only one week left before finals are all over, and I'm done with school for now. Going to rest then study for the finals.	impermanence
Only one week left before finals are all over, and I'm done with school for now. Going to rest then study for the finals.	neutralizing
Only one week left before finals are all over, and I'm done with school for now. Going to rest then study for the finals.	thankfulness
I think a few days logged off would be really great for my health.	neutralizing
I think a few days logged off would be really great for my health.	self_affirmation
I'm going to be mindful of the messages I'm sending out.	neutralizing
Whatever the result of my oral presentation will be, at least I will be done with it so I can move on to other stuff in my life.	optimism
Helped shovel my sister's drive yesterday. Even though my shoulder is hurting now, it is always important to help family.	self_affirmation
Even though there's a lot of papers handed out, I'm glad they will all help me with the exams.	growth
Even though there's a lot of papers handed out, I'm glad they will all help me with the exams.	optimism
Even though there's a lot of papers handed out, I'm glad they will all help me with the exams.	thankfulness
Finally time to watch Game of Thrones! I am fully prepared for this and quite excited too!	neutralizing
I'm looking forward to finishing work and priorities so I can enjoy a bottle of Riesling.	neutralizing
It would be better if my teachers did projects on different days !	growth
Haven’t been so busy in a while which I don’t like, so I hope this busy life comes to an end soon.	impermanence
I am going to write to my local government about the traffic problem.	growth
I am going to write to my local government about the traffic problem.	optimism
I should not forget my keys.	growth
I'm working so hard on my finals I know that this will help me grow and prepare me for my career.	growth
I'm working so hard on my finals I know that this will help me grow and prepare me for my career.	optimism
Only 20 school days left to go before the end of the school year!	impermanence
As soon as I finish my college work, I know I’ll be free of all burdens.	impermanence
As soon as I finish my college work, I know I’ll be free of all burdens.	optimism
As soon as I finish my college work, I know I’ll be free of all burdens.	self_affirmation
I don't intend to collapse! I'll just go home and watch Frozen.	neutralizing
In 2 hours iI will be taking my second to last final and I hope to get ready by that time.	optimism
I can't wait to sit back and have a lovely glass of wine and chocolate after an annoying day.	neutralizing
I can't wait to sit back and have a lovely glass of wine and chocolate after an annoying day.	thankfulness
Physics is not my favorite subject as it is not necessary to learn “The Life cycle of a Star' to lead a normal life.	neutralizing
Dealing with my son's sickness can be overwhelming, but I'm grateful for being able to look after him.	self_affirmation
Dealing with my son's sickness can be overwhelming, but I'm grateful for being able to look after him.	thankfulness
I have several pieces of homework and tests coming up so I need to study	growth
I have several pieces of homework and tests coming up so I need to study	neutralizing
I'm learning to understand why my parents think I'm not trying in school finals	growth
I need to focus on myself to get out of this situation	growth
I'm planning on giving myself a nice reward after I finish my homework.	impermanence
I'm planning on giving myself a nice reward after I finish my homework.	optimism
I would be very happy if I could make you little and put you in my pocket.	optimism
Even though my sister stole my phone, I’m happy to know that I can still feel emotions beyond anger.	optimism
A very challenging semester, full of learning!	optimism
I am having a headache because of the long to- do list. I wish we could stop and get sorted.	neutralizing
There are only 24 days and so much to do. But I am cent percent sure that I can pull through.	optimism
I need to take my responsibility and do my own thing, many people trust me and I cannot leave them disappointed.	growth
I need to take my responsibility and do my own thing, many people trust me and I cannot leave them disappointed.	impermanence
I need to take my responsibility and do my own thing, many people trust me and I cannot leave them disappointed.	optimism
I have enough time to finish the school work I have for this semester if I stay focused.	growth
I thought my last test was terrible.	growth
I thought my last test was terrible.	neutralizing
Tired but gotta get my clean on!	neutralizing
I wasn't really myself today but I'm sure everyone knows that I'm acting out of character.	growth
I wasn't really myself today but I'm sure everyone knows that I'm acting out of character.	neutralizing
I wasn't really myself today but I'm sure everyone knows that I'm acting out of character.	optimism
Normally I'd be really excited about that, but I haven't made progress while I've been sick. But, I'm going to be better, my progress will increase again, and this will be great.	optimism
People sometimes prefer to be alone and that's normal.	impermanence
My dentist appointments never last as long as I think they will.	impermanence
I am very grateful to have the strength to take care of my family when they are sick even though it is an exhausting task	thankfulness
Waiting for breakdown people to come out. I would be glad ifyou could fix my car and send me away soon.	neutralizing
Waiting for breakdown people to come out. I would be glad ifyou could fix my car and send me away soon.	optimism
Not caring too much anymore, can’t wait to get to the LQ store!	neutralizing
Not caring too much anymore, can’t wait to get to the LQ store!	optimism
I wonder if I should change my life so it can be better.	neutralizing
It would be really great if someone gave me a lot of chocolate right now!	optimism
My mother is on my back about school, I am sure she is only doing this because she loves me and want to see me succeed	optimism
My mother is on my back about school, I am sure she is only doing this because she loves me and want to see me succeed	thankfulness
I may have a lot on my plate, but I also have the strength to handle all of it.	optimism
I may have a lot on my plate, but I also have the strength to handle all of it.	self_affirmation
Today has been amazing ive only had one blip but who doesnt	impermanence
Today has been amazing ive only had one blip but who doesnt	neutralizing
Rest will feel so much better after all the work I have done! I can't wait to relax!	optimism
I know not to watch BBC1 as it's really awful, and I can find something to watch that makes me feel better.	optimism
I know not to watch BBC1 as it's really awful, and I can find something to watch that makes me feel better.	thankfulness
It's important for me to get to work earlier than to be late!	neutralizing
I hope the coming days bring better luck and I get out of this slump very soon.	impermanence
I hope the coming days bring better luck and I get out of this slump very soon.	optimism
I should improve my grades in AP World which has deteriorated from A to a B.	impermanence
I should improve my grades in AP World which has deteriorated from A to a B.	optimism
I must stop having unnecessary conversations that go nowhere, or I will keep getting angry.	impermanence
I must stop having unnecessary conversations that go nowhere, or I will keep getting angry.	neutralizing
Im really hungry but at least I can have a nice meal when I get back home from the food shop.	neutralizing
Im really hungry but at least I can have a nice meal when I get back home from the food shop.	optimism
I have two and a half hours before I will let myself take a shower. I want to get as much studying in as possible.	growth
I have two and a half hours before I will let myself take a shower. I want to get as much studying in as possible.	neutralizing
I have trouble sleeping, maybe I could use this time to be productive instead of sleeping.	growth
I'm glad I took exams to find out soon how to treat my shoulder	optimism
I'm glad I took exams to find out soon how to treat my shoulder	thankfulness
I'm feeling like I'm going to collapse. I hope it will get better soon.	impermanence
ha and avoiding it by posting it on twitter!	neutralizing
I need to take a bit and reset my mental and gain confidence back into myself. School and work has been a toll on me.	neutralizing
I need to take a bit and reset my mental and gain confidence back into myself. School and work has been a toll on me.	self_affirmation
I know my GSW paper can improve so I'm going to work to make it as best I can	growth
I have a lot of work to do today but it's all going to be worth it when I get into a great college.	impermanence
I have a lot of work to do today but it's all going to be worth it when I get into a great college.	optimism
I'm in a bad mood today and don't want to do anything. I think I'll take the day off to relax and take care of myself.	impermanence
I'm in a bad mood today and don't want to do anything. I think I'll take the day off to relax and take care of myself.	neutralizing
I'm in a bad mood today and don't want to do anything. I think I'll take the day off to relax and take care of myself.	optimism
Last year might not have been a good year, but I know if I just focus 2018 will start to look up.	growth
I understand that people that work at malls deserve to go back to their home and rest.	neutralizing
Helping others with stressful courses. Club Z	neutralizing
Now that I've got my cup of Yorkshire Tea I can relax and forget about being anxious and angry.	thankfulness
These past two weeks have been really rough, but I'm glad I managed to get through it. Looking back, it's not too bad!	self_affirmation
I have a lot to catch up on at work, but the week off was fun.	optimism
I would love to be done with my BA Degree so that I can then relax and move ahead in life.	growth
I would love to be done with my BA Degree so that I can then relax and move ahead in life.	impermanence
It is extremely good to have all the seven dimention of health at the top so you feel good.	optimism
All I need to do is pack and do my homework them I’m ready to leave.	neutralizing
All I need to do is pack and do my homework them I’m ready to leave.	optimism
I'm glad now I have a chance to unwind with a glass of wine!	thankfulness
Survived Day1 of Exams This recent post is to tell that the worst still I have to study.	neutralizing
Survived Day1 of Exams This recent post is to tell that the worst still I have to study.	thankfulness
It seems like there aren't enough hours in a day, because I have much to do in a little time. But I'm smart, and I know I'll be able to finish my tasks.	optimism
It seems like there aren't enough hours in a day, because I have much to do in a little time. But I'm smart, and I know I'll be able to finish my tasks.	self_affirmation
I worry too much but hopefully I willmeet with my advisor soon and everything will go back to normal.	optimism
I had a busy day at work but I'm grateful for a job.	thankfulness
As soon as I find my NI card I can call tax credits about my renewal pack.	neutralizing
I need to go to the gym, but I also need to get my life and other random thoughts together. The time is short, but I'll figure it out how to fix this, and everything will be fine.	impermanence
I need to go to the gym, but I also need to get my life and other random thoughts together. The time is short, but I'll figure it out how to fix this, and everything will be fine.	neutralizing
Today without a doubt it was not one of the best days of my life, but the problems in the car are making things more difficult. help me goood.	impermanence
Today without a doubt it was not one of the best days of my life, but the problems in the car are making things more difficult. help me goood.	neutralizing
I have to do my daily works properly.	growth
I am a very prepared person, and even though I already think I have studied a lot for this five-chapter test, I feel that I can still do much more.	growth
I am a very prepared person, and even though I already think I have studied a lot for this five-chapter test, I feel that I can still do much more.	optimism
The terrible twos have definitely given me a reason to enjoy a pint today!	neutralizing
This week has not been going good, and I hope the next one takes a good turn.	neutralizing
This week has not been going good, and I hope the next one takes a good turn.	optimism
I am thankful for the coworkers I have since the job I do is stressful.	thankfulness
Things seem to be going wrong this week. Hope things improve for the next week.	neutralizing
Things seem to be going wrong this week. Hope things improve for the next week.	optimism
Being a person with obligations shouldn’t embarrass me.	neutralizing
Being a person with obligations shouldn’t embarrass me.	self_affirmation
I want to tell you something but I feel I shouldn't. However, I think I should focus on the good aspects and ignore what I feel.	neutralizing
Not a good day. Times like this I just want my dad for advice, and a cuddle. But I'm sure tomorrow will be better.	neutralizing
Not a good day. Times like this I just want my dad for advice, and a cuddle. But I'm sure tomorrow will be better.	optimism
I can't wait to be finished with the controlled assessments for my favorite subject History.	optimism
Even though it is frustrating, I have to finish this job, there is no other way out.	growth
Even though it is frustrating, I have to finish this job, there is no other way out.	neutralizing
I'm going to stop holding everything in and vent when I need to.	growth
I need to take better care of myself and see a doctor.	growth
Even though there was a candidate I don't approve of on the ballot, I admire the hard work it took for him to appear on a voting ballot.	optimism
The fact that I have to move it means new opportunities will open up for me.	optimism
Hopelessly waiting is so typical for a Monday.	neutralizing
Im finding this assignment really hard but I’m sure I will crack it soon.	optimism
Im finding this assignment really hard but I’m sure I will crack it soon.	self_affirmation
Sometimes I dread that this semester may in fact kill me, but I know I will survive it and hope that things will be better next semester	neutralizing
Sometimes I dread that this semester may in fact kill me, but I know I will survive it and hope that things will be better next semester	optimism
I wish Monday will arrive soon, so that this weekend will be over.	neutralizing
Really hoping the thing will be better and I dont have to cancel my birthday trip.	optimism
Using my free time after work to do important things. Go me	self_affirmation
You can have faith that God's plan will see you through	impermanence
You can have faith that God's plan will see you through	optimism
I'm exhausted but glad I'm finally getting some rest.	thankfulness
Although I am not learning, I need little grade for this internship. A C and it's already great.	optimism
Getting old is about learn how to deal with life events impermanence, i.e, accept them. I'm on the way!	optimism
Prom should be interesting because I am making plans without anyone getting back to me.	neutralizing
If nothing else, insomnia is always a convenient excuse to binge my favorite shows!	optimism
I hope I go to work in a better frame of mind and have a calm shift today.	impermanence
I hope I go to work in a better frame of mind and have a calm shift today.	optimism
This is the morning of the last exam. I don't know much and didn't sleep very nicely, but If I think positive, I'm sure I'll do well.	neutralizing
This is the morning of the last exam. I don't know much and didn't sleep very nicely, but If I think positive, I'm sure I'll do well.	optimism
This wasn't a great night of sleep, hopefully I can stay sharp at school to be able to learn	growth
This wasn't a great night of sleep, hopefully I can stay sharp at school to be able to learn	neutralizing
This wasn't a great night of sleep, hopefully I can stay sharp at school to be able to learn	optimism
Quarantining for the next week. It won't last forever!	impermanence
I overcame the exams easily than doing the regular homework.	growth
I am really looking forward to being able to drink some beers and relax	impermanence
I will take good care of my health, so I won't get sick when the next school year starts!	growth
Sometimes I appear mighty like the ocean but there are times like today when I feel like sinking in it. There are ups and downs in everyone’s life.	neutralizing
Sometimes I appear mighty like the ocean but there are times like today when I feel like sinking in it. There are ups and downs in everyone’s life.	self_affirmation
I need some help with math.	neutralizing
I am sorry about being sick and negative, but I wish someone would instill positive vibes in me.	neutralizing
I am sorry about being sick and negative, but I wish someone would instill positive vibes in me.	optimism
Life is being a bit hard on me, but I hope to get over it soon.	impermanence
Life is being a bit hard on me, but I hope to get over it soon.	neutralizing
Venting my stress is a good option, especially if I do different activities.	optimism
Venting my stress is a good option, especially if I do different activities.	self_affirmation
I have not been able to text or call today, but I'm so thankful for moving even if it's inconvenient.	thankfulness
This weekend, my mom keeps telling me to apply for colleges, and I am doing very little about it.	neutralizing
I wish to make crab ragoon and I hope to get the link soon.	optimism
Time to work on my study strategies, so I can get my grades up for college!	growth
I wish I can stop time, take a break, lie on the bed and do nothing.	impermanence
I want to know when our holiday is coming up, so I can organize myself	neutralizing
I'm looking forward to fall break, even if I have to do stuff during the break I'll at least get some things done, which I'm thankful for.	optimism
I'm looking forward to fall break, even if I have to do stuff during the break I'll at least get some things done, which I'm thankful for.	thankfulness
Stayed away from Twitter for a while as I've been too busy catching up on various fronts.	neutralizing
I can't wait to get done with these essays today.	impermanence
I can't wait to get done with these essays today.	optimism
I think I will feel better after I have had a long rest and stayed in bed for a while.	neutralizing
I think I will feel better after I have had a long rest and stayed in bed for a while.	optimism
I don't feel good, because I really don't like Marxism and Othello. But I'm going to be positive and keep studying, because complaining isn't going to take me anywhere.	impermanence
I don't feel good, because I really don't like Marxism and Othello. But I'm going to be positive and keep studying, because complaining isn't going to take me anywhere.	neutralizing
I'm glad to have a partner in life no matter what anyone else thinks.	optimism
I'm glad to have a partner in life no matter what anyone else thinks.	thankfulness
Selena is going through a rough time. We need to help her to succeed because she deserves it.	growth
Selena is going through a rough time. We need to help her to succeed because she deserves it.	neutralizing
Life has been busy these times! I need a couple of months to rest.	impermanence
Life has been busy these times! I need a couple of months to rest.	neutralizing
I'm nervous about my exam because I havent had much time to study, but it will all be over soon!	impermanence
Piano is a great way to relieve stress and get my mind off the world. Recommend	neutralizing
Piano is a great way to relieve stress and get my mind off the world. Recommend	optimism
I have been doing a good job staying active in school groups lately.	self_affirmation
Sometimes sudden crying is for the body to relax	self_affirmation
Life is dealing with the stressful moments and it makes us better.	growth
I'm very stressed and tired, but I hope I can resist it!	optimism
Sei que há coisas com sons irritantes principalmente a noite, mas entendo que são coisas boas, pessoas vivendo felizmente suas vidas.	optimism
Waiting for my replacement card just makes me feel more anxious and excited.	optimism
I'm really excited about Friday coming up soon, and I can rest	optimism
I am going to sleep for a few hours so that I am able to understand the topic better when I wake up.	impermanence
I am going to sleep for a few hours so that I am able to understand the topic better when I wake up.	optimism
Though this week has been an emotional roller coaster, I am glad it is coming to an end	impermanence
Though this week has been an emotional roller coaster, I am glad it is coming to an end	thankfulness
We should accept what comes in our life.	growth
I have to write an essay and I hate writing essays but at least I’m not in education anymore.	neutralizing
I have to write an essay and I hate writing essays but at least I’m not in education anymore.	optimism
I have to write an essay and I hate writing essays but at least I’m not in education anymore.	thankfulness
NASH fashion show is in like 2 months, and I'm not even half way done with my dress yet, I know that with hard work I will finish it in time though!	growth
NASH fashion show is in like 2 months, and I'm not even half way done with my dress yet, I know that with hard work I will finish it in time though!	optimism
I'm really stressed at the moment but when all this stuff is out the way I can relax.	growth
I'm really stressed at the moment but when all this stuff is out the way I can relax.	neutralizing
I'm really stressed at the moment but when all this stuff is out the way I can relax.	optimism
Being organized is the best way to be systematic at work and home and be relaxed at all times.	neutralizing
Being organized is the best way to be systematic at work and home and be relaxed at all times.	optimism
My dad moved, but it must have been for the best I bet there is still a way to see my siblings.	neutralizing
My dad moved, but it must have been for the best I bet there is still a way to see my siblings.	optimism
It took me an hour in a half to complete two job applications online. It's very long, but I'm sure it's going to worth it.	neutralizing
It took me an hour in a half to complete two job applications online. It's very long, but I'm sure it's going to worth it.	optimism
Spring break was not a long enough break, still I have to enjoy it.	impermanence
It took all night, but I got the just giving form done. Going to try to set a bit of a charity link next. I'll be glad to have it done!	impermanence
It took all night, but I got the just giving form done. Going to try to set a bit of a charity link next. I'll be glad to have it done!	optimism
This paper is almost done, which means I can enjoy myself a drink after.	impermanence
I wish I owned my own gym so I can go whenever I want, hope that soon I am able to go again!	impermanence
I hope I go to bed early going forward whenever I have an early start so that I don't spend time dressing up in the dark.	optimism
I type so fast it's one of my best skills	self_affirmation
I can’t believe my baby is going to be due soon this is such an amazing time for me just need to sort out the baby shower.	growth
I can’t believe my baby is going to be due soon this is such an amazing time for me just need to sort out the baby shower.	neutralizing
I can’t believe my baby is going to be due soon this is such an amazing time for me just need to sort out the baby shower.	optimism
You may find me huddled in a corner clutching a bag and an espresso It makes me feel good.	self_affirmation
You may find me huddled in a corner clutching a bag and an espresso It makes me feel good.	thankfulness
I have a lot going on at the end of spring break, but I'm thankful I have the patience to handle it all.	growth
I have a lot going on at the end of spring break, but I'm thankful I have the patience to handle it all.	optimism
I have a lot going on at the end of spring break, but I'm thankful I have the patience to handle it all.	thankfulness
I have to catch up on my goals for the week.	neutralizing
The school and the teachers help me to grow as a person.	growth
The school and the teachers help me to grow as a person.	optimism
The school and the teachers help me to grow as a person.	self_affirmation
When you're feeling a little overwhelmed and anxious, it really helps to take some time for yourself	neutralizing
there is lot of think that will help you relieve your stress!	neutralizing
I need to fix my screen, so I can work with ease on my projects.	growth
I need to fix my screen, so I can work with ease on my projects.	impermanence
I need to fix my screen, so I can work with ease on my projects.	neutralizing
I can't wait to get 8 hours of sleep and get back to my normal routine.	impermanence
I'm working on bettering myself by eating good food, and I will find healthy restaurants close to me.	self_affirmation
I should fix my car soon so that I can go out shopping and get some peace of mind.	impermanence
I should fix my car soon so that I can go out shopping and get some peace of mind.	optimism
I don't like people who deny the most obvious things, like grow a pair and admit it. However, people are different, and that's life. I can't change it.	impermanence
I don't like people who deny the most obvious things, like grow a pair and admit it. However, people are different, and that's life. I can't change it.	neutralizing
Taken 2 and a half hour to get home from work. In all the way I can enjoy the view.	growth
I hope I get to sleep soon so that I can have a fresh start tomorrow.	impermanence
I hope I get to sleep soon so that I can have a fresh start tomorrow.	optimism
Working out makes me feel less stressed, especially with this exam coming up.	impermanence
Writing my essays. 2 typed lines = 6 written lines. This is going to take a long time.	neutralizing
After my final is over tomorrow, I will take a long nap and rejuvenate.	impermanence
After my final is over tomorrow, I will take a long nap and rejuvenate.	optimism
My boyfriend’s nonexistent driving skills have taught me that I must learn to do things on my own.	growth
My boyfriend’s nonexistent driving skills have taught me that I must learn to do things on my own.	optimism
My boyfriend’s nonexistent driving skills have taught me that I must learn to do things on my own.	self_affirmation
I am blessed to have my mom in my life who is able to recognize exactly how I feel.	optimism
I am blessed to have my mom in my life who is able to recognize exactly how I feel.	thankfulness
When I am done with school, I will be so happy.	optimism
After one month I get attacks in my sleep I think I have to consult the doctor	neutralizing
I will have to work on my exam review all night but it is worth it to get a good job later.	impermanence
I will have to work on my exam review all night but it is worth it to get a good job later.	optimism
These guys in the study room are bothering everyone else with their noise I hope they are asked to leave.	impermanence
I was already crying in my dreams, then I woke up crying too. But I'm glad it was just a nightmare, and everything's fine.	optimism
I was already crying in my dreams, then I woke up crying too. But I'm glad it was just a nightmare, and everything's fine.	thankfulness
The later you find a place to rent, the greater the reward when you get it.	optimism
Hoping to go to bed early tonight is not impossible it only just take some more time.	optimism
Im sure things will be less bad soon, hope my boo is doing amazing.	neutralizing
Im sure things will be less bad soon, hope my boo is doing amazing.	optimism
I only have one page left to write of my paper which makes me so happy.	neutralizing
I only have one page left to write of my paper which makes me so happy.	optimism
I only have one page left to write of my paper which makes me so happy.	thankfulness
Knowing exactly what you want and having to wait is much better than not knowing what you want.	neutralizing
Knowing exactly what you want and having to wait is much better than not knowing what you want.	optimism
Im still awake and it‚Äôs late but at least tomorow night I will be exhausted.	neutralizing
Im still awake and it‚Äôs late but at least tomorow night I will be exhausted.	optimism
Im still awake and it‚Äôs late but at least tomorow night I will be exhausted.	thankfulness
I'm glad my mother was there for me when I needed her and still wants to support me while I'm leaving.	thankfulness
The consideration of university professionals about us could slightly improve the picture.	neutralizing
I love buying things, it's the best. Shopping is hard work but it's worth it.	optimism
I love buying things, it's the best. Shopping is hard work but it's worth it.	thankfulness
I’ve been unwell but I can catch up on all my work now.	growth
I’ve been unwell but I can catch up on all my work now.	neutralizing
I’ve been unwell but I can catch up on all my work now.	optimism
I cannot wait to take break and stay in Irondequoit. A break from everyone in Red Creek would be very welcome.	optimism
I don't like the nights when I have so much on my mind that I can't sleep, but it's just my anxiety talking. I'll take a sleeping pill and be okay	impermanence
I don't like the nights when I have so much on my mind that I can't sleep, but it's just my anxiety talking. I'll take a sleeping pill and be okay	neutralizing
Some people need to grow up. They make me so angry that Iwish they could change for the better.	neutralizing
Some people need to grow up. They make me so angry that Iwish they could change for the better.	optimism
I'll just write more tomorrow, and then I'll definitely have time to rest!	neutralizing
The fact that I spent a lot of money means I had money to spend	optimism
I am sorry that I haven’t slept the whole night and the sun is up now. Hope to have a nice day.	neutralizing
I am sorry that I haven’t slept the whole night and the sun is up now. Hope to have a nice day.	optimism
I'm going to take my mind off things and have some fun.	optimism
I would be happier knowing	neutralizing
Im ready for a good night sleep after a busy week.	optimism
Im ready for a good night sleep after a busy week.	thankfulness
I am excited to look forward to reach Sydney soon as I am tired of all the procedures like bank, passport etc.	neutralizing
